Cidade,X,Y
1,42.50300647906447,63.54513862499391
2,51.19464695062249,36.08067876232334
3,25.984983373560866,34.634486968293444
4,95.81840560236225,50.92103893292048
5,91.24286192841757,42.13916894634999
6,19.913085962689124,58.73612718646078
7,78.60357152022895,39.06017588061732
8,65.70588860184672,20.501358019458927
9,44.97722042145749,68.33358644307131
10,60.04230418102851,65.04667606438073
11,94.55214837678353,53.010928020287196
12,86.48505221103706,99.12337750831354
13,10.70139962776635,93.41895784716674
14,48.292054305774734,28.656165722868664
15,35.86049461464129,73.69744360530191
